Player,Team,Conference,Month,Year,Award
Deron Williams,Utah Jazz,West,November,2011,NBA Player Of The Month
Carmelo Anthony,New York Knicks,East,April,2012,NBA Player Of The Month
Chris Paul,Los Angeles Clippers,West,April,2012,NBA Player Of The Month
Paul Pierce,Boston Celtics,East,March,2012,NBA Player Of The Month
Kevin Durant,Oklahoma City Thunder,West,March,2012,NBA Player Of The Month
LeBron James,Miami Heat,East,February,2012,NBA Player Of The Month
Kevin Durant,Oklahoma City Thunder,West,February,2012,NBA Player Of The Month
LeBron James,Miami Heat,East,January,2012,NBA Player Of The Month
Kobe Bryant,Los Angeles Lakers,West,January,2012,NBA Player Of The Month
Carmelo Anthony,New York Knicks,East,April,2013,NBA Player Of The Month
Stephen Curry,Golden State Warriors,West,April,2013,NBA Player Of The Month
LeBron James,Miami Heat,East,March,2013,NBA Player Of The Month
Kevin Durant,Oklahoma City Thunder,West,March,2013,NBA Player Of The Month
LeBron James,Miami Heat,East,February,2013,NBA Player Of The Month
Kobe Bryant,Los Angeles Lakers,West,February,2013,NBA Player Of The Month
LeBron James,Miami Heat,East,January,2013,NBA Player Of The Month
Tony Parker,San Antonio Spurs,West,January,2013,NBA Player Of The Month
LeBron James,Miami Heat,East,December,2013,NBA Player Of The Month
Chris Paul,Los Angeles Clippers,West,December,2013,NBA Player Of The Month
LeBron James,Miami Heat,East,November,2013,NBA Player Of The Month
Kevin Durant,Oklahoma City Thunder,West,November,2013,NBA Player Of The Month
Al Jefferson,Charlotte Bobcats,East,March,2014,NBA Player Of The Month
Kevin Durant,Oklahoma City Thunder,West,March,2014,NBA Player Of The Month
LeBron James,Miami Heat,East,February,2014,NBA Player Of The Month
Blake Griffin,Los Angeles Clippers,West,February,2014,NBA Player Of The Month
Carmelo Anthony,New York Knicks,East,January,2014,NBA Player Of The Month
Kevin Durant,Oklahoma City Thunder,West,January,2014,NBA Player Of The Month
LeBron James,Miami Heat,East,December,2014,NBA Player Of The Month
Kevin Durant,Oklahoma City Thunder,West,December,2014,NBA Player Of The Month
Paul George,Indiana Pacers,East,November,2014,NBA Player Of The Month
Kevin Durant,Oklahoma City Thunder,West,November,2014,NBA Player Of The Month
DeMar DeRozan,Toronto Raptors,East,April,2015,NBA Player Of The Month
Russell Westbrook,Oklahoma City Thunder,West,April,2015,NBA Player Of The Month
LeBron James,Cleveland Cavaliers,East,March,2015,NBA Player Of The Month
Russell Westbrook,Oklahoma City Thunder,West,March,2015,NBA Player Of The Month
LeBron James,Cleveland Cavaliers,East,February,2015,NBA Player Of The Month
Russell Westbrook,Oklahoma City Thunder,West,February,2015,NBA Player Of The Month
DeMarre Carroll,Atlanta Hawks,East,January,2015,NBA Player Of The Month
Al Horford,Atlanta Hawks,East,January,2015,NBA Player Of The Month
Kyle Korver,Atlanta Hawks,East,January,2015,NBA Player Of The Month
Paul Millsap,Atlanta Hawks,East,January,2015,NBA Player Of The Month
Jeff Teague,Atlanta Hawks,East,January,2015,NBA Player Of The Month
James Harden,Houston Rockets,West,January,2015,NBA Player Of The Month
Kyle Lowry,Toronto Raptors,East,December,2015,NBA Player Of The Month
James Harden,Houston Rockets,West,December,2015,NBA Player Of The Month
Jimmy Butler,Chicago Bulls,East,November,2015,NBA Player Of The Month
Stephen Curry,Golden State Warriors,West,November,2015,NBA Player Of The Month
LeBron James,Cleveland Cavaliers,East,April,2016,NBA Player Of The Month
James Harden,Houston Rockets,West,April,2016,NBA Player Of The Month
LeBron James,Cleveland Cavaliers,East,March,2016,NBA Player Of The Month
Russell Westbrook,Oklahoma City Thunder,West,March,2016,NBA Player Of The Month
LeBron James,Cleveland Cavaliers,East,February,2016,NBA Player Of The Month
Stephen Curry,Golden State Warriors,West,February,2016,NBA Player Of The Month
DeMar DeRozan,Toronto Raptors,East,January,2016,NBA Player Of The Month
Kyle Lowry,Toronto Raptors,East,January,2016,NBA Player Of The Month
Kevin Durant,Oklahoma City Thunder,West,January,2016,NBA Player Of The Month
John Wall,Washington Wizards,East,December,2016,NBA Player Of The Month
Kevin Durant,Oklahoma City Thunder,West,December,2016,NBA Player Of The Month
Russell Westbrook,Oklahoma City Thunder,West,December,2016,NBA Player Of The Month
Paul George,Indiana Pacers,East,November,2016,NBA Player Of The Month
Stephen Curry,Golden State Warriors,West,November,2016,NBA Player Of The Month
Paul George,Indiana Pacers,East,April,2017,NBA Player Of The Month
Chris Paul,Los Angeles Clippers,West,April,2017,NBA Player Of The Month
Giannis Antetokounmpo,Milwaukee Bucks,East,March,2017,NBA Player Of The Month
Damian Lillard,Portland Trail Blazers,West,March,2017,NBA Player Of The Month
LeBron James,Cleveland Cavaliers,East,February,2017,NBA Player Of The Month
Russell Westbrook,Oklahoma City Thunder,West,February,2017,NBA Player Of The Month
Isaiah Thomas,Boston Celtics,East,January,2017,NBA Player Of The Month
