full_name,ID,player,Contracts
Tornike Shengelia,https://basketball.realgm.com/player/Tornike-Shengelia/summary/24387,http://www.wikidata.org/entity/Q983599,Unrestricted Free Agent
Doug Smith,https://basketball.realgm.com/player/Doug-Smith/summary/4700,http://www.wikidata.org/entity/Q1606849,Unrestricted Free Agent
Aleksandar Đorđević,https://basketball.realgm.com/player/Aleksandar-Đorđević/summary/3102,http://www.wikidata.org/entity/Q380033,Unrestricted Free Agent
Roko Ukić,https://basketball.realgm.com/player/Roko-Ukić/summary/149,http://www.wikidata.org/entity/Q203331,Unrestricted Free Agent
Willis Reed,https://basketball.realgm.com/player/Willis-Reed/summary/65954,http://www.wikidata.org/entity/Q380515,Unrestricted Free Agent
Derrick Rose,https://basketball.realgm.com/player/Derrick-Rose/summary/756,http://www.wikidata.org/entity/Q205326,Under Contract (New York Knicks)
Boštjan Nachbar,https://basketball.realgm.com/player/Boštjan-Nachbar/summary/277,http://www.wikidata.org/entity/Q443730,Unrestricted Free Agent
Andrés Nocioni,https://basketball.realgm.com/player/Andrés-Nocioni/summary/211,http://www.wikidata.org/entity/Q444027,Unrestricted Free Agent
Primož Brezec,https://basketball.realgm.com/player/Primož-Brezec/summary/522,http://www.wikidata.org/entity/Q443716,Unrestricted Free Agent
Alvan Adams,https://basketball.realgm.com/player/Alvan-Adams/summary/50938,http://www.wikidata.org/entity/Q448245,Unrestricted Free Agent
Alvin Robertson,https://basketball.realgm.com/player/Alvin-Robertson/summary/4606,http://www.wikidata.org/entity/Q449245,Unrestricted Free Agent
Hanno Möttölä,https://basketball.realgm.com/player/Hanno-Möttölä/summary/1146,http://www.wikidata.org/entity/Q557835,Unrestricted Free Agent
Carlos Arroyo,https://basketball.realgm.com/player/Carlos-Arroyo/summary/676,http://www.wikidata.org/entity/Q562471,Unrestricted Free Agent
Zoran Planinić,https://basketball.realgm.com/player/Zoran-Planinić/summary/460,http://www.wikidata.org/entity/Q220565,Unrestricted Free Agent
Dražen Petrović,https://basketball.realgm.com/player/Dražen-Petrović/summary/2519,http://www.wikidata.org/entity/Q209982,Unrestricted Free Agent
David Robinson,https://basketball.realgm.com/player/David-Robinson/summary/1234,http://www.wikidata.org/entity/Q211876,Unrestricted Free Agent
Ricky Rubio,https://basketball.realgm.com/player/Ricky-Rubio/summary/1599,http://www.wikidata.org/entity/Q212421,Under Contract (Cleveland Cavaliers)
Manu Ginóbili,https://basketball.realgm.com/player/Manu-Ginóbili/summary/266,http://www.wikidata.org/entity/Q213132,Unrestricted Free Agent
Andrew Toney,https://basketball.realgm.com/player/Andrew-Toney/summary/4665,http://www.wikidata.org/entity/Q508026,Unrestricted Free Agent
Ralph Sampson,https://basketball.realgm.com/player/Ralph-Sampson/summary/4624,http://www.wikidata.org/entity/Q594137,Unrestricted Free Agent
Lucious Jackson,https://basketball.realgm.com/player/Lucious-Jackson/summary/66179,http://www.wikidata.org/entity/Q1115784,Unrestricted Free Agent
Joey Dorsey,https://basketball.realgm.com/player/Joey-Dorsey/summary/806,http://www.wikidata.org/entity/Q1116123,Unrestricted Free Agent
Chris Jent,https://basketball.realgm.com/player/Chris-Jent/summary/33359,http://www.wikidata.org/entity/Q2331907,Unrestricted Free Agent
John Stockton,https://basketball.realgm.com/player/John-Stockton/summary/1237,http://www.wikidata.org/entity/Q213346,Unrestricted Free Agent
Vince Carter,https://basketball.realgm.com/player/Vince-Carter/summary/275,http://www.wikidata.org/entity/Q241261,Unrestricted Free Agent
Bill Russell,https://basketball.realgm.com/player/Bill-Russell/summary/65961,http://www.wikidata.org/entity/Q242185,Unrestricted Free Agent
Toni Kukoč,https://basketball.realgm.com/player/Toni-Kukoč/summary/1025,http://www.wikidata.org/entity/Q245222,Unrestricted Free Agent
Álex Abrines,https://basketball.realgm.com/player/Álex-Abrines/summary/26575,http://www.wikidata.org/entity/Q250534,Unrestricted Free Agent
Vladimir Radmanović,https://basketball.realgm.com/player/Vladimir-Radmanović/summary/512,http://www.wikidata.org/entity/Q357295,Unrestricted Free Agent
Nenê,https://basketball.realgm.com/player/Nenê/summary/448,http://www.wikidata.org/entity/Q357438,Unrestricted Free Agent
Elton Brand,https://basketball.realgm.com/player/Elton-Brand/summary/544,http://www.wikidata.org/entity/Q310281,Unrestricted Free Agent
Aron Baynes,https://basketball.realgm.com/player/Aron-Baynes/summary/1790,http://www.wikidata.org/entity/Q698125,Unrestricted Free Agent
Reggie Miller,https://basketball.realgm.com/player/Reggie-Miller/summary/740,http://www.wikidata.org/entity/Q270966,Unrestricted Free Agent
Amar'e Stoudemire,https://basketball.realgm.com/player/Amar'e-Stoudemire/summary/437,http://www.wikidata.org/entity/Q270981,Unrestricted Free Agent
Hakeem Olajuwon,https://basketball.realgm.com/player/Hakeem-Olajuwon/summary/1177,http://www.wikidata.org/entity/Q273256,Unrestricted Free Agent
Luol Deng,https://basketball.realgm.com/player/Luol-Deng/summary/323,http://www.wikidata.org/entity/Q275183,Unrestricted Free Agent
