,Player,Team,Conference,Month,Year,Award
137,Chris Paul,Los Angeles Clippers,West,April,2012,NBA Player Of The Month
138,Paul Pierce,Boston Celtics,East,March,2012,NBA Player Of The Month
139,Kevin Durant,Oklahoma City Thunder,West,March,2012,NBA Player Of The Month
140,LeBron James,Miami Heat,East,February,2012,NBA Player Of The Month
141,Kevin Durant,Oklahoma City Thunder,West,February,2012,NBA Player Of The Month
142,LeBron James,Miami Heat,East,January,2012,NBA Player Of The Month
143,Kobe Bryant,Los Angeles Lakers,West,January,2012,NBA Player Of The Month
144,Carmelo Anthony,New York Knicks,East,April,2013,NBA Player Of The Month
145,Stephen Curry,Golden State Warriors,West,April,2013,NBA Player Of The Month
146,LeBron James,Miami Heat,East,March,2013,NBA Player Of The Month
147,Kevin Durant,Oklahoma City Thunder,West,March,2013,NBA Player Of The Month
148,LeBron James,Miami Heat,East,February,2013,NBA Player Of The Month
149,Kobe Bryant,Los Angeles Lakers,West,February,2013,NBA Player Of The Month
150,LeBron James,Miami Heat,East,January,2013,NBA Player Of The Month
151,Tony Parker,San Antonio Spurs,West,January,2013,NBA Player Of The Month
152,LeBron James,Miami Heat,East,December,2013,NBA Player Of The Month
153,Chris Paul,Los Angeles Clippers,West,December,2013,NBA Player Of The Month
154,LeBron James,Miami Heat,East,November,2013,NBA Player Of The Month
155,Kevin Durant,Oklahoma City Thunder,West,November,2013,NBA Player Of The Month
156,Al Jefferson,Charlotte Bobcats,East,March,2014,NBA Player Of The Month
157,Kevin Durant,Oklahoma City Thunder,West,March,2014,NBA Player Of The Month
158,LeBron James,Miami Heat,East,February,2014,NBA Player Of The Month
159,Blake Griffin,Los Angeles Clippers,West,February,2014,NBA Player Of The Month
160,Carmelo Anthony,New York Knicks,East,January,2014,NBA Player Of The Month
161,Kevin Durant,Oklahoma City Thunder,West,January,2014,NBA Player Of The Month
162,LeBron James,Miami Heat,East,December,2014,NBA Player Of The Month
163,Kevin Durant,Oklahoma City Thunder,West,December,2014,NBA Player Of The Month
164,Paul George,Indiana Pacers,East,November,2014,NBA Player Of The Month
165,Kevin Durant,Oklahoma City Thunder,West,November,2014,NBA Player Of The Month
166,DeMar DeRozan,Toronto Raptors,East,April,2015,NBA Player Of The Month
167,Russell Westbrook,Oklahoma City Thunder,West,April,2015,NBA Player Of The Month
168,LeBron James,Cleveland Cavaliers,East,March,2015,NBA Player Of The Month
169,Russell Westbrook,Oklahoma City Thunder,West,March,2015,NBA Player Of The Month
170,LeBron James,Cleveland Cavaliers,East,February,2015,NBA Player Of The Month
171,Russell Westbrook,Oklahoma City Thunder,West,February,2015,NBA Player Of The Month
172,DeMarre Carroll,Atlanta Hawks,East,January,2015,NBA Player Of The Month
173,Al Horford,Atlanta Hawks,East,January,2015,NBA Player Of The Month
174,Kyle Korver,Atlanta Hawks,East,January,2015,NBA Player Of The Month
175,Paul Millsap,Atlanta Hawks,East,January,2015,NBA Player Of The Month
176,Jeff Teague,Atlanta Hawks,East,January,2015,NBA Player Of The Month
177,James Harden,Houston Rockets,West,January,2015,NBA Player Of The Month
178,Kyle Lowry,Toronto Raptors,East,December,2015,NBA Player Of The Month
179,James Harden,Houston Rockets,West,December,2015,NBA Player Of The Month
180,Jimmy Butler,Chicago Bulls,East,November,2015,NBA Player Of The Month
181,Stephen Curry,Golden State Warriors,West,November,2015,NBA Player Of The Month
182,LeBron James,Cleveland Cavaliers,East,April,2016,NBA Player Of The Month
183,James Harden,Houston Rockets,West,April,2016,NBA Player Of The Month
184,LeBron James,Cleveland Cavaliers,East,March,2016,NBA Player Of The Month
185,Russell Westbrook,Oklahoma City Thunder,West,March,2016,NBA Player Of The Month
186,LeBron James,Cleveland Cavaliers,East,February,2016,NBA Player Of The Month
187,Stephen Curry,Golden State Warriors,West,February,2016,NBA Player Of The Month
188,DeMar DeRozan,Toronto Raptors,East,January,2016,NBA Player Of The Month
189,Kyle Lowry,Toronto Raptors,East,January,2016,NBA Player Of The Month
190,Kevin Durant,Oklahoma City Thunder,West,January,2016,NBA Player Of The Month
191,John Wall,Washington Wizards,East,December,2016,NBA Player Of The Month
192,Kevin Durant,Oklahoma City Thunder,West,December,2016,NBA Player Of The Month
193,Russell Westbrook,Oklahoma City Thunder,West,December,2016,NBA Player Of The Month
194,Paul George,Indiana Pacers,East,November,2016,NBA Player Of The Month
195,Stephen Curry,Golden State Warriors,West,November,2016,NBA Player Of The Month
196,Paul George,Indiana Pacers,East,April,2017,NBA Player Of The Month
197,Chris Paul,Los Angeles Clippers,West,April,2017,NBA Player Of The Month
198,Giannis Antetokounmpo,Milwaukee Bucks,East,March,2017,NBA Player Of The Month
199,Damian Lillard,Portland Trail Blazers,West,March,2017,NBA Player Of The Month
200,LeBron James,Cleveland Cavaliers,East,February,2017,NBA Player Of The Month
201,Russell Westbrook,Oklahoma City Thunder,West,February,2017,NBA Player Of The Month
202,Isaiah Thomas,Boston Celtics,East,January,2017,NBA Player Of The Month
203,Stephen Curry,Golden State Warriors,West,January,2017,NBA Player Of The Month
204,Kevin Durant,Golden State Warriors,West,January,2017,NBA Player Of The Month
205,John Wall,Washington Wizards,East,December,2017,NBA Player Of The Month
206,James Harden,Houston Rockets,West,December,2017,NBA Player Of The Month
207,LeBron James,Cleveland Cavaliers,East,November,2017,NBA Player Of The Month
208,Russell Westbrook,Oklahoma City Thunder,West,November,2017,NBA Player Of The Month
209,LeBron James,Cleveland Cavaliers,East,March,2018,NBA Player Of The Month
210,Anthony Davis,New Orleans Pelicans,West,March,2018,NBA Player Of The Month
211,LeBron James,Cleveland Cavaliers,East,February,2018,NBA Player Of The Month
212,Anthony Davis,New Orleans Pelicans,West,February,2018,NBA Player Of The Month
213,DeMar DeRozan,Toronto Raptors,East,January,2018,NBA Player Of The Month
214,Stephen Curry,Golden State Warriors,West,January,2018,NBA Player Of The Month
215,LeBron James,Cleveland Cavaliers,East,December,2018,NBA Player Of The Month
216,Russell Westbrook,Oklahoma City Thunder,West,December,2018,NBA Player Of The Month
217,LeBron James,Cleveland Cavaliers,East,November,2018,NBA Player Of The Month
218,James Harden,Houston Rockets,West,November,2018,NBA Player Of The Month
219,Giannis Antetokounmpo,Milwaukee Bucks,East,March,2019,NBA Player Of The Month
220,James Harden,Houston Rockets,West,March,2019,NBA Player Of The Month
221,Giannis Antetokounmpo,Milwaukee Bucks,East,February,2019,NBA Player Of The Month
222,Paul George,Oklahoma City Thunder,West,February,2019,NBA Player Of The Month
223,Joel Embiid,Philadelphia Sixers,East,January,2019,NBA Player Of The Month
224,James Harden,Houston Rockets,West,January,2019,NBA Player Of The Month
225,Giannis Antetokounmpo,Milwaukee Bucks,East,December,2019,NBA Player Of The Month
226,James Harden,Houston Rockets,West,December,2019,NBA Player Of The Month
227,Giannis Antetokounmpo,Milwaukee Bucks,East,November,2019,NBA Player Of The Month
228,Tobias Harris,Los Angeles Clippers,West,November,2019,NBA Player Of The Month
229,Jayson Tatum,Boston Celtics,East,February,2020,NBA Player Of The Month
230,LeBron James,Los Angeles Lakers,West,February,2020,NBA Player Of The Month
231,Giannis Antetokounmpo,Milwaukee Bucks,East,January,2020,NBA Player Of The Month
232,LeBron James,Los Angeles Lakers,West,January,2020,NBA Player Of The Month
233,Giannis Antetokounmpo,Milwaukee Bucks,East,December,2020,NBA Player Of The Month
234,James Harden,Houston Rockets,West,December,2020,NBA Player Of The Month
235,Giannis Antetokounmpo,Milwaukee Bucks,East,November,2020,NBA Player Of The Month
236,Luka Doncic,Dallas Mavericks,West,November,2020,NBA Player Of The Month
237,Russell Westbrook,Washington Wizards,East,May,2021,NBA Player Of The Month
238,Stephen Curry,Golden State Warriors,West,May,2021,NBA Player Of The Month
239,Julius Randle,New York Knicks,East,April,2021,NBA Player Of The Month
